"Frecuencia,""Transaccionalidad"",""Ingresos"""
2,19.71,0
14,1906.95,880
5,320.73,1837.8
8,976.1,578.42
16,1511,0
11,1668.12,1664.92
5,226.28,323.5
25,1838.81,800.43
52,22322.81,819.16
1,0.01,1309
1,0.02,250
12,4497.33,1469.91
24,1247.57,807.63
16,1320.28,830.58
5,883.14,1464
12,1073.01,0
4,238.86,831.03
4,1338.26,820
20,2929.77,1703.72
26,8013.58,969
8,243.3,158
37,1878.85,807
9,385.03,807
9,1521.24,160
1,0.02,339
18,1714.37,860.69
7,216.57,158
7,1669.64,934.59
10,24534.24,1780.84
20,3419.47,1527.83
12,2311.53,970
19,1833.88,937.59
1,0.03,0
3,10.08,1150.97
24,1941.32,833.77
4,448.67,3870
32,3518.11,904
9,283.03,280
10,1590.36,819.16
14,3356.08,1086.88
15,292.46,180
2,1.02,158
12,3133.6,1186.49
16,2133.37,1184.87
7,248.53,158
1,0.02,0
1,0.02,550
11,472.3,650
11,343.88,380
8,203.76,830
11,2898.95,3980
1,0.02,0
1,2.48,0
5,1625.28,900
14,2007.39,937.59
2,176.02,1800
8,1207.19,1734
14,1710.53,860.69
8,8881.94,819.16
2,0.37,160
2,19.89,2765
12,1890.56,1410
10,5456.53,1180
4,21.4,3780
33,2797.09,809.72
21,1614.9,824.53
18,11670.64,1913.51
15,402.8,804.25
20,2776.26,1624.58
15,558.07,155
1,0.02,337
23,929.7,1070
22,1733.8,819.16
28,1694.28,724.62
6,226.32,800
16,1729.51,150
55,5257.24,2180
13,1555.75,1013
12,1756.05,986.03
1,0.02,0
31,5562.4,693.75
3,25.74,874.78
51,10039.63,150
10,1734.45,1070
16,2264.77,1257.49
6,331.45,807.63
9,1180.47,819.16
1,0.02,150
11,1106.46,1111.29
6,249.91,158
16,1724.73,849.15
6,3029.34,302.24
20,7895.69,720.72
1,0.02,1200
6,274.2,150
3,157.8,158
20,4340.36,807.63
7,1206.17,2453.9
2,19.72,0
22,3109.85,888.37
7,286.88,168
1,0.02,400
21,1085.89,819.16
2,179.16,2090
2,0.01,0
3,0.3,0
5,1730.65,800
9,531.12,1200
19,1723.57,888.37
1,0.02,4900
30,2874.3,937.59
2,80.72,405.21
11,1409.42,565.29
28,2187.42,1110.61
3,569.97,845
11,1239.63,850.99
8,322.54,180
10,1773.01,1548.91
1,0.02,100
28,7532.18,848.15
31,3081.05,819.16
4,190517.8,5068
1,0.02,800
37,4024.42,1263.36
45,3681.19,1422.04
1,0.02,560
12,1418.78,818.61
8,4371.48,0
9,1159.3,1022
13,2443.9,937
23,11130.34,1930
5,1739.03,1996
24,2069.2,860
18,2082.99,1392
37,1932,1039.06
1,0.02,470
9,4545.45,0
18,2613.96,2186.03
8,637.99,1370.5
23,1816.11,701.64
4,12301.26,507.44
5,237.95,150
3,190.56,0
8,252.71,158
6,261.88,1687.59
2,175.5,1057
6,180.62,5277.79
1,0.01,220
10,1109.99,2000
14,1666.54,819.16
3,1.37,2750
1,0.03,0
7,603.6,1400
8,283.61,150
4,221.15,980
5,6261.49,0
19,430.3,158
4,3893.1,557.17
2,19.71,0
18,2302.21,1239.93
28,2220.74,1022.18
21,10970.45,819
1,0.02,2800
2,20.43,4008
2,0.04,2530
19,2153.65,860.69
33,3400.43,1090.62
1,3.1,851.52
13,4904.52,3556.67
25,2281.88,742.98
30,3608.99,833.77
2,1.02,2918
1,0.02,1500
35,12783.45,1055
20,2922.34,713.76
3,1501.28,723.45
1,0.02,1600
5,23.47,969.12
29,5598.6,937.59
8,1327.32,807.63
22,2562.53,1050
11,399.78,155
1,0.02,840
11,1148.9,408.7
7,359.57,1225.8
8,1411.8,510
11,1433.23,622
1,0.02,807.63
2,20,0
39,1012.55,158
2,441.01,0
6,306.88,158
2,19.71,969.12
9,2274.85,1500
4,3750.06,1459
2,437.81,4995.11
37,6708.82,870
11,369.22,150
12,1980.38,1435
8,448.69,156
1,0.02,70
6,1187.4,818.55
9,974.64,1400
9,2742.08,1532
16,6317.14,819
17,1557.58,819.16
8,245.9,150
4,7901.32,7065.68
13,2135.89,1022
39,6482.15,2404.91
8,310.19,150
7,124.93,2100
19,2639.79,1482.04
5,202.87,1077.27
24,2262.33,807.63
13,917.4,800
26,2495.91,160
48,2381.71,1234
41,2316.58,833.77
5,788.48,1130.61
5,809.96,819
22,3107.23,986.03
26,5460.28,877.86
10,447.09,336.59
8,3247.19,158
25,2795.68,2044.36
8,847.81,342.15
29,2391.45,2369.12
7,237.61,0
2,19.71,1000
2,19.71,1569.12
2,220.11,2900
4,1413.29,486
23,2154.32,1090.62
5,196.03,707.09
2,0.09,300
21,1218.56,653.53
17,1902.47,833.77
25,2331.91,1090
10,143.9,0
11,2718.97,1130.61
4,801.59,575
14,1738.34,919.12
18,2739.24,860.69
19,4637.41,1990.82
5,307.85,150
28,5363.22,1100
1,0.45,0
9,251.68,1089
2,404.3,2133
29,5275.88,1400
7,248.19,198
14,1897.33,986.03
13,1595.75,962.5
36,2854.38,761.72
11,1540.99,852.66
8,566.58,158
18,2785.96,700
1,0.02,1461.19
5,180.35,1240
5,3172.98,158
11,1586.28,847.29
4,313.8,150
10,5379.66,945
40,4919.05,849.15
25,1301.37,669.38
24,1582.56,689.87
9,551.77,1245.65
11,6820.69,1273
27,1812.68,819.16
1,0.02,280
13,1690.12,986.03
28,5366.6,870
3,164.03,950
7,1172.57,819
66,4654.8,1430.97
6,2030.91,1886
9,2747.94,2800
29,4801.68,1022.18
13,1093.22,634.65
9,1639.11,800
1,0.02,300
45,2659.58,267
1,0.02,589.94
21,4037.58,819.16
2,0.04,1617.85
2,1.05,0
12,1471.35,1301.36
22,5552.57,870
2,19.72,849.15
4,20.64,2120
9,2259.56,1896.71
10,1283.64,874.53
5,209.87,986.03
21,1828.49,0
27,2318.94,849.15
18,3032.23,3321.67
29,10876.51,849.15
2,200.31,0
5,76.07,800
7,842.03,1582
2,0.04,704.73
1,0.02,1116.41
3,1225.61,0
11,1596.29,0
13,1868.95,807
8,5530.78,2500
4,659.51,2101
26,3212.1,1369
1,0.02,2085
19,13264.06,3250
19,1658.42,860.69
10,1591.53,807.63
19,3782.47,1969.88
5,3523.03,1470.77
14,2191.32,1078.21
5,481.28,0
13,309.7,150
2,19.71,150
20,2481.26,1619.14
28,2863.85,1096
18,1959.68,849.15
28,1833.33,1450
5,321.46,0
1,0.03,1550
17,9039.36,1228
14,1522,840
13,4312.48,833.77
5,1123.5,2622
28,1628.03,156.87
1,0.03,3063.31
41,8353.78,1436.8
21,2219.37,926.9
22,1416.26,673
8,249.18,807.63
10,6564.26,677.28
3,21.59,2040
17,4108.94,800
2,1.87,0
63,3309.74,1170
4,90.02,937.59
7,1517.33,856.67
1,10.85,930
3,20.65,921
5,138.23,0
6,135.33,0
12,1575.65,743.57
29,2638.06,1090.62
