Cliente_ID,Frecuencia,Transaccionalidad,Ingresos,Indice_Cliente,Categoria_Indice,Cluster
1125,1.0,0.02,3642.52,-0.40590343013479685,Muy Bajo,0
1126,1.0,0.03,2900.0,-0.4209032316982396,Muy Bajo,0
1127,11.0,2459.42,650.0,-0.08773628239542253,Muy Bajo,0
1128,7.0,1590.13,1430.63,-0.21682879687882248,Muy Bajo,0
1129,17.0,14094.31,158.0,0.7140077392537642,Muy Bajo,0
1130,5.0,2377.11,4083.0,-0.1653911314059018,Muy Bajo,0
1131,9.0,1875.54,0.0,-0.18188516903742316,Muy Bajo,0
1132,15.0,3012.28,3400.0,0.09447623151652848,Muy Bajo,0
1133,22.0,2861.21,1100.0,0.20530455647721282,Muy Bajo,0
1134,20.0,1658.94,849.15,0.08364035954921152,Muy Bajo,0
1135,1.0,0.02,0.0,-0.47948955967569623,Muy Bajo,0
1136,2.0,0.04,830.0,-0.4390086673272245,Muy Bajo,0
1137,30.0,1981.06,706.45,0.33641159163949036,Muy Bajo,0
1138,2.0,141.28,954.0,-0.4283774091484288,Muy Bajo,0
1139,24.0,4637.54,1178.0,0.3565052558358733,Muy Bajo,0
1140,20.0,5464.45,2264.07,0.3311737276031146,Muy Bajo,0
1141,13.0,299.61,150.0,-0.1746772751191362,Muy Bajo,0
1142,14.0,1677.55,150.0,-0.07168570635448357,Muy Bajo,0
1143,5.0,234.44,150.0,-0.36812357835986736,Muy Bajo,0
1144,1.0,0.02,1170.0,-0.45585323878717615,Muy Bajo,0
1145,32.0,34022.0,712.36,2.2274235817937176,Muy Bajo,0
1146,1.0,0.02,5500.0,-0.36837864951598626,Muy Bajo,0
1147,14.0,3784.77,3272.02,0.11262372796636477,Muy Bajo,0
1148,26.0,26854.11,1436.0,1.6873670060133756,Muy Bajo,0
1149,5.0,418.94,320.8,-0.354057912800378,Muy Bajo,0
1150,2.0,19.71,0.0,-0.4546446046640258,Muy Bajo,0
1151,24.0,4725.51,819.0,0.35431407822003813,Muy Bajo,0
1152,33.0,8253.64,860.69,0.7715553361055426,Muy Bajo,0
1153,21.0,2089.75,833.77,0.13182830644793067,Muy Bajo,0
1154,14.0,2994.92,2160.42,0.04472335762827155,Muy Bajo,0
1155,6.0,239.93,178.0,-0.3435299616692082,Muy Bajo,0
1156,15.0,3515.96,819.16,0.07131726154558503,Muy Bajo,0
1157,17.0,1692.89,1506.12,0.027729476877508534,Muy Bajo,0
