Frecuencia,Transaccionalidad,Ingresos,Cluster
3.0,0.07,937.59,0
25.0,1874.13,1200.0,2
7.0,757.79,1600.0,1
6.0,313.16,158.0,0
11.0,1943.32,807.63,0
16.0,1593.41,819.16,0
21.0,1083.91,493.72,0
28.0,1786.55,707.16,2
27.0,3528.96,807.0,2
14.0,486.59,155.0,0
4.0,799.66,2831.12,1
2.0,331.89,2644.0,1
4.0,426.05,194.84,0
22.0,5041.15,1018.41,2
11.0,1002.76,819.16,0
3.0,70.31,0.0,0
2.0,19.71,1990.0,1
11.0,1557.97,740.79,0
5.0,201.38,1369.12,0
6.0,1670.86,150.0,0
33.0,3227.74,804.63,2
14.0,1597.36,874.53,0
2.0,1.98,3306.0,1
42.0,1545.89,827.63,2
5.0,248.24,158.0,0
2.0,30.82,776.63,0
16.0,1209.0,0.0,0
12.0,2591.42,901.56,0
19.0,1586.8,819.16,0
23.0,3363.5,1022.18,2
4.0,353.28,1043.0,0
27.0,10654.88,1426.81,2
12.0,1993.53,986.03,0
31.0,2570.37,1090.0,2
1.0,0.4,158.0,0
19.0,1926.15,0.0,0
22.0,1617.01,819.16,2
2.0,1.02,150.0,0
10.0,1858.78,732.0,0
10.0,1512.43,819.16,0
9.0,795.79,512.2,0
15.0,581.9,1640.0,1
23.0,2552.51,849.15,2
11.0,2175.65,781.18,0
3.0,142.84,1090.62,0
20.0,2928.7,1755.0,2
11.0,1844.38,849.15,0
14.0,1673.72,1090.62,0
32.0,1630.24,2031.87,2
6.0,731.88,3039.58,1
18.0,1840.72,860.0,0
17.0,2705.69,800.0,0
3.0,977.56,200.0,0
11.0,1166.6,819.16,0
23.0,1686.79,819.16,2
16.0,1321.36,807.0,0
3.0,166.76,1003.72,0
7.0,1112.25,680.55,0
2.0,326.85,326.0,0
5.0,759.19,800.0,0
27.0,4212.39,2027.28,2
5.0,355.86,1130.61,0
1.0,0.05,1005.0,0
18.0,2866.41,732.49,0
2.0,0.04,610.77,0
12.0,2270.66,1115.0,0
5.0,299.74,0.0,0
23.0,2130.99,600.0,2
34.0,2999.07,1100.0,2
29.0,1513.18,810.0,2
5.0,602.79,2317.0,1
2.0,0.04,1550.0,1
8.0,951.57,1328.1,0
16.0,2842.44,857.69,0
10.0,3940.88,1877.25,1
13.0,1847.74,703.77,0
19.0,19193.49,819.16,2
4.0,24.05,920.67,0
17.0,1297.73,929.41,0
19.0,2466.77,1234.42,2
18.0,706.67,1636.0,1
2.0,200.31,0.0,0
32.0,3220.38,1110.61,2
14.0,2340.53,1280.56,0
11.0,2425.03,1270.61,0
46.0,2557.53,1270.62,2
23.0,5948.8,0.0,2
10.0,1025.64,1127.96,0
2.0,19.71,0.0,0
14.0,1797.6,791.71,0
5.0,1789.85,3800.0,1
4.0,179.84,1200.0,0
3.0,1821.81,1686.87,1
7.0,454.99,754.63,0
6.0,292.67,150.0,0
15.0,2211.73,907.56,0
8.0,630.63,400.0,0
8.0,1146.55,750.0,0
36.0,7086.02,3317.82,2
23.0,3205.84,807.63,2
18.0,2386.13,969.12,0
2.0,200.4,400.0,0
7.0,1446.05,1200.0,0
6.0,1087.82,624.05,0
17.0,2155.0,1090.62,0
29.0,1906.39,1221.31,2
2.0,0.04,1209.58,0
3.0,44.05,1003.0,0
10.0,357.17,158.0,0
36.0,2395.76,1130.0,2
22.0,1952.75,821.0,2
1.0,0.14,0.0,0
11.0,1644.48,807.63,0
19.0,1606.88,150.0,0
7.0,589.4,725.88,0
16.0,3898.0,595.13,2
5.0,2352.04,3220.0,1
1.0,0.02,354.0,0
1.0,0.02,1000.0,0
18.0,3230.29,1251.27,2
27.0,1453.14,861.0,2
4.0,979.7,1935.0,1
1.0,0.02,1570.0,1
1.0,0.12,1410.64,0
22.0,3224.45,1100.0,2
23.0,1890.59,2459.49,1
13.0,1913.11,874.53,0
2.0,171.55,1973.3,1
1.0,0.02,0.0,0
14.0,1529.27,849.15,0
12.0,13323.17,2537.52,2
10.0,1108.14,2520.0,1
9.0,564.84,325.58,0
8.0,2080.75,979.0,0
3.0,3353.61,2000.0,1
7.0,1286.03,815.32,0
1.0,0.02,1038.19,0
1.0,0.62,540.0,0
28.0,4379.07,656.67,2
16.0,2481.02,1212.53,0
15.0,379.46,150.0,0
7.0,265.41,1053.48,0
2.0,1.02,50.0,0
1.0,0.03,833.0,0
1.0,0.02,1200.0,0
15.0,1895.02,849.15,0
28.0,4624.08,1576.64,2
7.0,1250.3,867.76,0
3.0,90.47,0.0,0
3.0,2.06,2593.07,1
13.0,1062.41,800.0,0
8.0,600.17,1782.04,1
45.0,3520.97,1834.01,2
11.0,235.3,1120.0,0
16.0,2076.62,1113.43,0
22.0,3906.87,5000.0,1
18.0,2703.65,1003.72,2
2.0,20.06,699.75,0
27.0,1689.82,657.39,2
9.0,381.92,330.0,0
8.0,5996.9,804.16,0
18.0,4054.61,833.77,2
2.0,1.02,70.0,0
5.0,1669.79,736.16,0
1.0,0.15,754.98,0
17.0,5134.3,693.43,2
7.0,528.89,1301.0,0
2.0,0.02,150.0,0
7.0,210.16,443.3,0
22.0,3267.57,1234.42,2
9.0,1386.92,799.85,0
2.0,19.76,0.0,0
15.0,888.94,544.64,0
9.0,695.08,904.4,0
1.0,0.02,2000.0,1
13.0,2663.0,1022.08,0
21.0,1157.87,583.45,0
10.0,1239.8,1436.78,0
2.0,100.31,0.0,0
1.0,0.02,0.0,0
2.0,1.93,900.0,0
12.0,1285.28,738.2,0
12.0,340.32,150.0,0
1.0,0.03,3920.0,1
29.0,15243.72,560.86,2
9.0,303.75,0.0,0
14.0,933.0,158.0,0
9.0,892.0,895.0,0
21.0,2176.66,842.52,2
12.0,1599.82,807.63,0
11.0,1946.03,1022.18,0
6.0,836.23,2100.0,1
21.0,3433.58,819.16,2
21.0,2245.71,0.0,0
11.0,1888.63,748.0,0
3.0,371.35,1504.73,1
32.0,4463.74,150.0,2
18.0,2895.36,0.0,0
20.0,3198.75,912.65,2
11.0,2175.69,819.0,0
27.0,2131.75,1062.0,2
9.0,268.51,158.0,0
6.0,496.82,331.46,0
2.0,19.71,0.0,0
1.0,0.02,150.0,0
21.0,2006.86,860.69,2
1.0,0.03,0.0,0
5.0,1513.6,904.0,0
6.0,248.48,198.0,0
15.0,5876.06,1334.42,2
7.0,604.21,1234.42,0
2.0,2.15,779.75,0
1.0,0.02,306.0,0
1.0,0.03,2300.0,1
30.0,1756.63,817.16,2
1.0,0.03,0.0,0
1.0,0.02,1700.0,1
22.0,2171.5,849.15,2
40.0,1168.33,1698.3,2
13.0,1853.86,954.0,0
42.0,1935.38,874.53,2
5.0,180.4,614.25,0
1.0,0.02,3000.0,1
6.0,265.53,158.0,0
26.0,1548.3,819.16,2
13.0,1517.69,258.0,0
25.0,1899.58,986.03,2
53.0,3742.66,963.0,2
33.0,6196.3,2023.59,2
17.0,1921.16,1488.37,1
9.0,2724.87,1214.43,0
8.0,2628.71,0.0,0
9.0,1217.23,766.44,0
1.0,0.02,976.55,0
7.0,1831.19,937.59,0
11.0,5341.76,150.0,0
4.0,404.64,4500.0,1
14.0,21219.47,1022.18,2
7.0,112.46,1419.37,0
3.0,820.58,1533.38,1
14.0,2316.3,800.0,0
5.0,312.39,644.0,0
21.0,2138.61,807.63,2
9.0,303.53,150.0,0
6.0,1410.58,158.0,0
1.0,0.02,150.0,0
2.0,195.2,2700.0,1
2.0,1.57,1200.0,0
1.0,0.02,340.0,0
9.0,406.15,1068.14,0
1.0,0.02,3188.0,1
16.0,1921.52,937.59,0
6.0,1081.25,0.0,0
22.0,2132.31,1297.45,2
9.0,286.68,180.0,0
2.0,1.04,1050.0,0
16.0,3184.1,830.77,0
13.0,2231.99,685.84,0
2.0,19.71,0.0,0
20.0,1228.14,577.59,0
29.0,3614.5,1013.61,2
9.0,260.4,180.0,0
16.0,1734.95,819.16,0
19.0,2692.36,962.65,2
12.0,8885.52,1405.02,2
2.0,0.05,451.82,0
1.0,0.02,2051.76,1
19.0,2102.19,860.69,0
20.0,1794.76,833.77,0
23.0,3120.98,1280.0,2
23.0,2222.07,1234.42,2
32.0,1740.95,819.16,2
4.0,305.34,756.65,0
29.0,2662.35,900.0,2
14.0,1462.43,686.0,0
17.0,1682.13,836.0,0
20.0,1792.81,1234.0,2
16.0,2176.8,1018.0,0
1.0,0.02,0.0,0
25.0,1922.88,819.16,2
8.0,6453.07,959.38,2
6.0,1048.87,907.3,0
5.0,272.24,1080.0,0
49.0,16943.48,2265.0,2
2.0,120.03,0.0,0
10.0,6506.39,1115.31,2
1.0,0.06,2499.0,1
12.0,3468.14,937.0,0
32.0,2887.51,874.53,2
19.0,9189.35,700.72,2
4.0,757.28,426.0,0
29.0,4249.29,1491.75,2
29.0,2257.97,0.0,2
26.0,2155.12,553.24,2
12.0,10393.55,1337.59,2
3.0,157.82,150.0,0
22.0,2061.57,890.0,2
44.0,3655.04,427.45,2
19.0,1687.76,849.15,0
28.0,1592.03,688.69,2
2.0,19.71,0.0,0
10.0,1556.39,816.0,0
2.0,95.41,641.04,0
27.0,1539.4,800.0,2
15.0,1434.68,819.16,0
50.0,3815.78,1703.89,2
13.0,324.77,1003.72,0
28.0,1669.54,1910.0,2
2.0,19.71,969.0,0
12.0,3986.01,1003.12,0
34.0,2319.92,920.67,2
3.0,292.84,1583.0,1
19.0,3395.08,1757.73,2
6.0,203.18,150.0,0
14.0,860.14,540.77,0
2.0,19.71,1000.0,0
4.0,1025.54,1300.0,0
18.0,8482.13,1696.87,2
30.0,2043.82,1003.72,2
2.0,245.06,3048.0,1
2.0,19.71,920.0,0
3.0,22.01,3100.0,1
4.0,224.05,150.0,0
11.0,1651.37,975.17,0
2.0,0.04,1022.0,0
3.0,742.75,295.0,0
1.0,0.13,1900.0,1
26.0,811.4,158.0,0
21.0,3689.16,954.51,2
7.0,275.25,1800.0,1
39.0,4544.7,0.0,2
32.0,3428.33,807.63,2
18.0,2944.16,158.0,0
23.0,5060.11,2641.0,1
14.0,2263.42,1050.0,0
2.0,19.71,0.0,0
53.0,4089.46,954.51,2
8.0,1835.37,1683.5,1
25.0,2252.58,1003.72,2
3.0,2901.56,1700.0,1
4.0,707.85,1000.0,0
1.0,0.02,515.66,0
14.0,1589.94,1812.0,1
24.0,1577.65,160.0,0
7.0,182.1,575.89,0
2.0,273.2,0.0,0
1.0,0.03,1700.0,1
9.0,1384.53,1844.63,1
1.0,0.02,900.0,0
17.0,3680.8,1781.52,1
15.0,1436.94,1816.29,1
20.0,6431.21,1962.79,2
2.0,0.04,626.0,0
4.0,524.63,937.59,0
3.0,201.15,500.0,0
15.0,514.83,1600.0,1
10.0,1383.7,467.0,0
5.0,927.55,156.0,0
17.0,3781.39,1441.0,2
25.0,5022.38,1300.0,2
35.0,5623.46,947.24,2
29.0,2189.68,1003.72,2
4.0,747.27,1320.8,0
6.0,278.24,158.0,0
12.0,5386.81,590.56,2
18.0,2273.08,1003.72,0
2.0,19.71,0.0,0
17.0,310.49,150.0,0
11.0,4653.06,3000.0,1
2.0,19.71,0.0,0
2.0,1.41,1885.0,1
10.0,1629.69,1110.61,0
5.0,99.98,0.0,0
2.0,19.71,0.0,0
14.0,1906.95,880.0,0
5.0,320.73,1837.8,1
8.0,976.1,578.42,0
16.0,1511.0,0.0,0
11.0,1668.12,1664.92,1
5.0,226.28,323.5,0
25.0,1838.81,800.43,2
52.0,22322.81,819.16,2
1.0,0.02,250.0,0
12.0,4497.33,1469.91,2
24.0,1247.57,807.63,2
16.0,1320.28,830.58,0
5.0,883.14,1464.0,1
12.0,1073.01,0.0,0
4.0,238.86,831.03,0
4.0,1338.26,820.0,0
20.0,2929.77,1703.72,2
26.0,8013.58,969.0,2
8.0,243.3,158.0,0
37.0,1878.85,807.0,2
9.0,385.03,807.0,0
9.0,1521.24,160.0,0
1.0,0.02,339.0,0
18.0,1714.37,860.69,0
7.0,216.57,158.0,0
7.0,1669.64,934.59,0
10.0,24534.24,1780.84,2
20.0,3419.47,1527.83,2
12.0,2311.53,970.0,0
19.0,1833.88,937.59,0
1.0,0.03,0.0,0
3.0,10.08,1150.97,0
24.0,1941.32,833.77,2
4.0,448.67,3870.0,1
32.0,3518.11,904.0,2
9.0,283.03,280.0,0
10.0,1590.36,819.16,0
14.0,3356.08,1086.88,0
15.0,292.46,180.0,0
2.0,1.02,158.0,0
12.0,3133.6,1186.49,0
16.0,2133.37,1184.87,0
7.0,248.53,158.0,0
1.0,0.02,0.0,0
1.0,0.02,550.0,0
11.0,472.3,650.0,0
11.0,343.88,380.0,0
8.0,203.76,830.0,0
11.0,2898.95,3980.0,1
1.0,0.02,0.0,0
1.0,2.48,0.0,0
5.0,1625.28,900.0,0
